id,kategori,status,text,created_at,pasangan_id,rasio_kemiripan,alasan
7724,near_duplicate,duplikat,Hilmi FPI Riau dan DPP FPI Gelar Pengobatan Massal Bagi Korban Banjir Bandang di Aceh Tamiang  #Kemanusiaan #Hilmi #BanjirBandang #BanjirAceh #AcehTamiang,2026-01-13,746,0.9615,Kemiripan 96% dengan id 746
7747,near_duplicate,duplikat,Bonus Variasi: Mari terus dukung kerja nyata para taruna. Setiap langkah kecil mereka di Aceh Tamiang hari ini adalah kontribusi besar bagi ketahanan nasional di daerah terdampak bencana banjir yang melanda.  Kemenkum Jabar - Asep Sutandar,2026-01-13,768,0.9518,Kemiripan 95% dengan id 768
7749,near_duplicate,duplikat,"Kisah Pilu Banjir Aceh Tamiang: Dikira Biasa Ternyata Bencana Besar, Warga Terpaksa Lahiran Darurat di Tengah Kepungan Air",2026-01-13,770,0.9402,Kemiripan 94% dengan id 770
7752,near_duplicate,duplikat,Relawan Nasional HILMI FPI Gelar Pengobatan Gratis Di 2 Desa Di Aceh Tengah  #hilmi #hilalmerahindonesia #AcehTengah #PeduliBanjir #kemanusiaan #PengobatanGratis #BanjirBandang,2026-01-13,865,0.958,Kemiripan 96% dengan id 865
1107,near_duplicate,duplikat,"Personel Polisi bersama instansi terkait menyalurkan bantuan perlengkapan sekolah kepada siswa di sekolah darurat Kecamatan Tukka, Kabupaten Tapanuli Tengah, Sumatera Utara. 1 12",2026-01-11,1106,0.9095,Kemiripan 91% dengan id 1106
7738,near_duplicate,duplikat,"Banjir menimbulkan dampak kerusakan, namun banjir tak menghancurkan semangat persaudaraan.   Sehari setelah diguyur hujan lebat pada 7 Januari 2026, beberapa wilayah di Kabupaten OKU Timur, Sumatera Selatan terdampak banjir; rusaknya fasilitas umum dan rumah warga maupun tempat",2026-01-09,1148,0.9219,Kemiripan 92% dengan id 1148
7739,near_duplicate,duplikat,"Sumatera Selatan terdampak banjir; rusaknya fasilitas umum dan rumah warga maupun tempat ibadah. Pasca banjir melanda OKU Timur, sahabat-sahabat Banser bergerak cepat membersihkan rumah warga dan tempat ibadah agar kenyamanan warga berteduh dan beribadah tetap terjaga.",2026-01-09,1152,0.9431,Kemiripan 94% dengan id 1152
1253,near_duplicate,duplikat,Kemenhut bersihkan 1.272 meter gelondongan kayu. Aceh Sumatra Pulih #Sumatra 11,2026-01-13,1216,0.9169,Kemiripan 92% dengan id 1216
7770,near_duplicate,duplikat,"Banjir Jakarta Mulai Surut! Tinggal 28 RT dan 6 Ruas Jalan Masih Tergenang, Ini Daftarnya",2026-01-13,1371,0.9412,Kemiripan 94% dengan id 1371
7709,near_duplicate,duplikat,"Banjir Rendam Lubuk Alung, Bupati Padang Pariaman John Kenedy Azis Pimpin Langsung Evakuasi Warga #bahlillahadalia #kuningkeren #golkarindonesia #partaigolkar #golkarpedia",2026-01-12,1376,0.9409,Kemiripan 94% dengan id 1376
7686,near_duplicate,duplikat,"Donasi disalurkan melalui Wahana Visi Indonesia untuk mendukung penanganan bencana alam banjir dan longsor di wilayah Sumatra, serta kepada Panti Asuhan Hati Bangsa, berupa bantuan sembako dan uang tunai guna membantu pemenuhan kebutuhan sehari-hari anak-anak panti.",2026-01-12,1409,0.9309,Kemiripan 93% dengan id 1409
3037,near_duplicate,duplikat,"Menjaga perdamaian Aceh adalah tanggung jawab kita bersama. Jangan biarkan aksi segelintir orang memecah belah bangsa dengan pengibaran bendera GAM. Prioritas kita sekarang jelas: Penanganan banjir, perbaikan fasilitas umum, dan keselamatan warga. Aceh Sumatra Pulih 1 41",2025-12-26,1433,0.9511,Kemiripan 95% dengan id 1433
7777,near_duplicate,duplikat,"Dr awal mmg pemdanya yg gk becus, data awal gk pernah update, gk sigap, gk pnh pny plan mitigasi bencana  Malah koar2 pempus yg gk bisa kerja",2026-01-13,1436,0.9444,Kemiripan 94% dengan id 1436
